rule,mark,self_buy_floor,flow_mult,max_entry_mult,trail_pct,tp_mult,hard_stop_pct,time_stop_s,loop1_triggers,loop1_wins,loop1_pnl_usd,loop1_pnl_ex_best_usd,loop1_hits_caught,loop1_misses_entered,loop1_worst_usd,loop1_median_usd,loop2_triggers,loop2_wins,loop2_pnl_usd,loop2_pnl_ex_best_usd,loop2_hits_caught,loop2_misses_entered,loop2_worst_usd,loop2_median_usd,min_ex_best,total_pnl,wr
hold,120,0.2,1.5,3,0.5,5,0.5,1800,4,2,157.93,-36.26,2,2,-30.18,-3.04,2,1,309.09,-27.2,1,1,-27.2,154.54,-36.26,467.02,0.5
hold,120,0.2,1.5,5,0.4,0,0.3,900,6,4,351.8,165.92,4,2,-30.18,34.58,6,3,353.97,-56.01,2,4,-51.98,2.26,-56.01,705.77,0.5833333333333334
hold,120,0.2,1.5,5,0.4,0,0.3,1800,6,4,1049.41,174.09,4,2,-30.18,38.67,6,4,391.18,-9.18,2,4,-51.98,5.49,-9.18,1440.5900000000001,0.6666666666666666
hold,120,0.2,1.5,5,0.4,0,0.5,900,6,4,342.81,156.93,4,2,-30.18,34.58,6,3,353.97,-56.01,2,4,-51.98,2.26,-56.01,696.78,0.5833333333333334
hold,120,0.2,1.5,5,0.4,0,0.5,1800,6,4,1040.42,165.1,4,2,-30.18,38.67,6,4,391.18,-9.18,2,4,-51.98,5.49,-9.18,1431.6000000000001,0.6666666666666666
hold,120,0.2,1.5,5,0.4,5,0.3,900,6,4,404.16,209.97,4,2,-30.18,34.58,6,3,280.28,-56.01,2,4,-51.98,2.26,-56.01,684.44,0.5833333333333334
hold,120,0.2,1.5,5,0.4,5,0.3,1800,6,4,412.33,218.14,4,2,-30.18,38.67,6,4,327.11,-9.18,2,4,-51.98,5.49,-9.18,739.44,0.6666666666666666
hold,120,0.2,1.5,5,0.4,5,0.5,900,6,4,395.17,200.98,4,2,-30.18,34.58,6,3,280.28,-56.01,2,4,-51.98,2.26,-56.01,675.45,0.5833333333333334
hold,120,0.2,1.5,5,0.4,5,0.5,1800,6,4,403.34,209.15,4,2,-30.18,38.67,6,4,327.11,-9.18,2,4,-51.98,5.49,-9.18,730.45,0.6666666666666666
hold,120,0.2,1.5,5,0.5,0,0.3,900,6,4,324.75,138.87,4,2,-30.18,34.58,6,3,353.97,-56.01,2,4,-51.98,2.26,-56.01,678.72,0.5833333333333334
hold,120,0.2,1.5,5,0.5,0,0.3,1800,6,4,1022.36,147.04,4,2,-30.18,38.67,6,4,770.83,-9.18,2,4,-51.98,5.49,-9.18,1793.19,0.6666666666666666
hold,120,0.2,1.5,5,0.5,0,0.5,900,6,4,315.76,129.88,4,2,-30.18,34.58,6,3,353.97,-56.01,2,4,-51.98,2.26,-56.01,669.73,0.5833333333333334
hold,120,0.2,1.5,5,0.5,0,0.5,1800,6,4,1013.37,138.05,4,2,-30.18,38.67,6,4,770.83,-9.18,2,4,-51.98,5.49,-9.18,1784.2,0.6666666666666666
hold,120,0.2,1.5,5,0.5,5,0.3,900,6,4,404.16,209.97,4,2,-30.18,34.58,6,3,280.28,-56.01,2,4,-51.98,2.26,-56.01,684.44,0.5833333333333334
hold,120,0.2,1.5,5,0.5,5,0.3,1800,6,4,412.33,218.14,4,2,-30.18,38.67,6,4,327.11,-9.18,2,4,-51.98,5.49,-9.18,739.44,0.6666666666666666
