dev,group,metric,n,median,p25,p75,min,max,note
slingoor,misses,dev_sold_share_60s,12,1.0,0.0,1.0,0.0,1.0,
slingoor,misses,dev_sold_share_300s,12,1.0,0.98660043850112,1.0,0.0,1.0,
slingoor,misses,grad_s,8,4.5,2.25,12.5,0.0,961.0,
slingoor,misses,peak10_mult,14,3.0173295779720144,2.543897573527971,6.305662158648909,1.6014535014411144,10.412436020144112,
slingoor,misses,peak10_ts_s,14,15.0,0.0,80.0,0.0,650.0,
slingoor,misses,sol_in_1m,12,179.9303714372997,116.35288733975,242.219278931939,83.085509268,399.378815903,
slingoor,misses,sol_in_5m,12,216.05902715749738,123.44158719050003,324.0538684762237,90.147818198,585.218320251,
slingoor,misses,n_wallets_1m,12,125.5,105.5,235.0,80.0,423.0,
slingoor,misses,n_wallets_5m,12,165.0,123.0,341.75,87.0,696.0,
slingoor,misses,n_launches,14,,,,,,measurable launches (with trades)
slingoor,misses,n_dev_sold_in_window,11,,,,,,launches with a dev sell in the window
slingoor,misses,n_dev_sold_by_60s,7,,,,,,
slingoor,misses,n_dev_sold_by_300s,10,,,,,,
slingoor,misses,n_non_sol_quote,6,,,,,,launches quoted in a token other than SOL
slingoor,misses,n_graduated_in_window,8,,,,,,curve completed inside the 30-min window
slingoor,misses,n_graduated_by_60s,7,,,,,,
slingoor,misses,n_dev_buy_in_create_slot,14,,,,,,dev_first_buy_s == 0
slingoor,misses,launchpad:Pump.fun,9,,,,,,dev_tokens.launchpad_platform
slingoor,misses,launchpad:stonkfun,5,,,,,,dev_tokens.launchpad_platform
slingoor,all,launch_hour_utc:00,1,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:01,1,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:02,3,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:03,3,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:05,3,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:06,1,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:08,1,,,,,,launches created in this UTC hour (all rows of the launch list)
