mark,self_buy_floor,trail_pct,tp_mult,hard_stop_pct,time_stop_s,triggers,wins,pnl_usd,avg_usd,median_usd,worst_usd,hits_caught,hits_total,misses_entered,pnl_ex_best_usd
dev,0.35,0.4,3,0.4,1800,10,7,411.01,41.1,21.47,-28.07,9,18,1,299.41
dev,0.35,0.4,3,0.5,900,10,7,391.93,39.19,14.44,-28.07,9,18,1,280.33
dev,0.35,0.4,3,0.5,1800,10,7,406.72,40.67,21.47,-28.07,9,18,1,295.12
dev,0.35,0.4,5,0.4,900,10,7,567.94,56.79,14.44,-28.07,9,18,1,373.75
dev,0.35,0.4,5,0.4,1800,10,7,487.59,48.76,21.47,-28.07,9,18,1,293.4
dev,0.35,0.4,5,0.5,900,10,7,563.65,56.37,14.44,-28.07,9,18,1,369.46
dev,0.35,0.4,5,0.5,1800,10,7,483.3,48.33,21.47,-28.07,9,18,1,289.11
dev,0.35,0.5,0,0.4,900,10,7,520.08,52.01,30.21,-28.07,9,18,1,334.2
dev,0.35,0.5,0,0.4,1800,10,7,1120.35,112.04,23.1,-28.07,9,18,1,245.03
dev,0.35,0.5,0,0.5,900,10,7,515.79,51.58,30.21,-28.07,9,18,1,329.91
dev,0.35,0.5,0,0.5,1800,10,7,1116.06,111.61,23.1,-28.07,9,18,1,240.74
dev,0.35,0.5,3,0.4,900,10,7,427.77,42.78,30.21,-28.07,9,18,1,316.17
dev,0.35,0.5,3,0.4,1800,10,7,442.56,44.26,34.34,-28.07,9,18,1,330.96
dev,0.35,0.5,3,0.5,900,10,7,423.48,42.35,30.21,-28.07,9,18,1,311.88
dev,0.35,0.5,3,0.5,1800,10,7,438.27,43.83,34.34,-28.07,9,18,1,326.67
dev,0.35,0.5,5,0.4,900,10,7,599.49,59.95,30.21,-28.07,9,18,1,405.3
dev,0.35,0.5,5,0.4,1800,10,7,510.32,51.03,23.1,-28.07,9,18,1,316.13
dev,0.35,0.5,5,0.5,900,10,7,595.2,59.52,30.21,-28.07,9,18,1,401.01
dev,0.35,0.5,5,0.5,1800,10,7,506.03,50.6,23.1,-28.07,9,18,1,311.84
dev,0.5,0.3,0,0.4,900,8,5,209.47,26.18,11.96,-28.07,7,18,1,84.47
dev,0.5,0.3,0,0.4,1800,8,5,191.92,23.99,11.96,-28.07,7,18,1,66.92
