dev,symbol,coverage_s,dev_supply_share,member_first_buy_s,outside_first_buy_s,peak1_ts_s,peak1_mult,peak10_ts_s,peak10_mult,end_mult,mult_30s,max_after_30s,ahead_30s,mult_60s,max_after_60s,ahead_60s,mult_120s,max_after_120s,ahead_120s,mult_300s,max_after_300s,ahead_300s,kl_mult_5m,kl_mult_30m,kl_max_mult_100m,kl_min_to_max_100m
retardmode,RETARDIO,1800,0.482891155480965,38.0,0.0,833.0,29.642262322649362,830.0,29.202315600672264,18.04083897622564,2.3829615361891965,29.202315600672264,12.2546315402859,4.0370782864989065,29.202315600672264,7.233527201672752,3.977221996151289,29.202315600672264,7.342390147930138,4.673715073150253,29.202315600672264,6.248201942911519,,,,
retardmode,MRHATE,1800,0.35269412757969304,1095.0,0.0,1270.0,3.642489488264622,1270.0,3.642489488264622,3.526918823440714,1.0662807193212551,3.642489488264622,3.4160699169194975,1.5879333948031926,3.642489488264622,2.2938553343517722,2.269397378003664,3.642489488264622,1.6050470153749958,2.4333687887522313,3.642489488264622,1.4968916775382808,,,,
retardmode,PQ,1800,0.5731257271252,265.0,37.0,1663.0,86.55407323916862,1660.0,71.0259266713501,46.86127620319776,1.0,71.0259266713501,71.0259266713501,2.331740073191336,71.0259266713501,30.460482061424827,2.839844567924254,71.0259266713501,25.010497924280955,5.786375031271701,71.0259266713501,12.274684286362334,,,,
retardmode,PEACE,1800,0.124733323581942,,1.0,1797.0,3.9092600764969903,1790.0,3.9092600764969903,3.9092600764969903,1.1381640448295578,3.9092600764969903,3.434707056733996,1.3008766905610492,3.9092600764969903,3.0050965666937914,1.633425466129705,3.9092600764969903,2.3932895363507014,1.659444415163829,3.9092600764969903,2.3557643996837627,,,,
slingoor,Graped,1800,0.47216098618547303,,0.0,0.0,2.2171665749834584,0.0,2.2171665749834584,2.2171665749834584,2.2171665749834584,,,2.2171665749834584,,,2.2171665749834584,,,2.2171665749834584,,,0.9285140563934954,3.2000100333093275,4.222201278680204,70.86666666666666
slingoor,ETH,3,0.6393380304135811,,0.0,,,0.0,2.3424859163884935,2.3424859163884935,,,,,,,,,,,,,0.5591022610944436,0.024362966834673247,1.0022058428236365,0.6666666666666666
slingoor,sling,872,0.716311901499859,229.0,0.0,118.0,167.99845637060747,160.0,146.05722167188597,98.9644508580749,88.72843833568115,146.05722167188597,1.6461150946815515,122.07045832916995,146.05722167188597,1.1964993305590312,145.93985200894224,146.05722167188597,1.000804233122948,127.75535086991795,144.7889462914121,1.1333298003215377,1.0240887330215627,1.2339180965236443,1.953665794944156,0.4666666666666667
slingoor,HOODWARTS,1800,0.667496111968053,38.0,0.0,4.0,13.8058763111065,230.0,4.100807567410797,1.0286621800217957,1.5140453943303225,4.100807567410797,2.7085103146624117,1.7399251675504186,4.100807567410797,2.3568873213002512,2.2457573437926603,4.100807567410797,1.8260243381795234,2.7981839559078225,2.418159243705683,0.8641888030985986,1.0594908639643794,0.5502657374419222,2.3502309127948884,3.3
slingoor,catcall,427,0.06486671033715,105.0,0.0,261.0,60.36377472671942,260.0,55.794434309717985,41.311774496454014,7.626350498181695,55.794434309717985,7.316007089238911,15.573713743896654,55.794434309717985,3.582603046854117,19.981381694470283,55.794434309717985,2.792321129882561,51.29624565468645,47.88992799211263,0.9335951857860261,2.679761666485443,3.3903734549315745,5.619906512816443,42.916666666666664
slingoor,LIZARD,881,0.712365145223127,60.0,0.0,824.0,106.31288369988364,820.0,97.55421023504678,86.67454080345215,23.865191931031408,97.55421023504678,4.087719491926612,41.29181623530408,97.55421023504678,2.3625555649847856,63.008662265889214,97.55421023504678,1.5482666466299408,69.9728544412477,97.55421023504678,1.394172225987402,6.626282712167191,8.22495057567255,11.657604492957327,51.2
slingoor,DIDDY,1800,0.609875666064564,70.0,0.0,849.0,52.30755490880216,840.0,50.31662808714975,33.45948830743674,8.437352122247413,50.31662808714975,5.963556736535393,11.353502581976183,50.31662808714975,4.431815444075204,20.629567356300875,50.31662808714975,2.439053966479892,20.569800516342347,50.31662808714975,2.4461407900953667,1.8236488435356195,2.9024688960819027,5.254232231696306,75.9
slingoor,WINNIE,1800,0.5331677018486,62.0,0.0,5.0,58.692126770655875,950.0,27.022592644930803,4.505294144992449,6.440593364988804,27.022592644930803,4.195668180485693,3.6960318130185765,27.022592644930803,7.311244602859966,5.042727691137204,27.022592644930803,5.3587253367704335,11.618226059133008,27.022592644930803,2.3258793990919577,1.632321173015121,0.6050035354601815,4.2433608406688395,13.783333333333333
slingoor,nothing,1800,0.541963340108031,1431.0,0.0,1046.0,46.06513558454584,1040.0,44.632273881990145,15.031019248074585,9.791343453210054,44.632273881990145,4.558340139458353,13.68224991170834,44.632273881990145,3.2620566186118904,18.798378952883304,44.632273881990145,2.374261844271653,17.115793770469885,44.632273881990145,2.607666023587806,2.0873428392383455,1.8669709521174895,5.794318209736084,17.183333333333334
slingoor,MARVIN,1800,0.247075181586938,406.0,0.0,1268.0,10.929836239254106,1280.0,10.885842355729391,7.8743247882021485,2.9370430687102083,10.885842355729391,3.706395208058651,3.0672344427683105,10.885842355729391,3.549074111825783,3.610814771630813,10.885842355729391,3.014788363351254,4.022192996038969,10.885842355729391,2.706444560579192,1.4233912645783666,2.467398061459102,4.7133342857940095,80.0
slingoor,🐺,1800,0.7268521802021559,,0.0,1299.0,51.354249607913545,1300.0,50.64639636318318,26.622961226109695,25.33703482793874,50.64639636318318,1.9989077927672978,31.205426063542546,50.64639636318318,1.6229996751223215,31.122202974807646,50.64639636318318,1.6273396971345409,20.073747527919554,50.64639636318318,2.5230165066458907,3.4693548451355514,4.86316555394908,9.520431821229256,21.016666666666666
slingoor,Chairman,1800,0.609875666064564,307.0,0.0,1365.0,78.27230086620025,1360.0,71.55797940032566,46.51389228097057,10.33927967307482,71.55797940032566,6.920983053265729,13.074639267750026,71.55797940032566,5.473036611941635,17.671307354093766,71.55797940032566,4.049387969235248,31.07136465517381,71.55797940032566,2.3030201664608985,3.8562664545590826,5.387953548969934,9.656797731720632,22.083333333333332
slingoor,OFFICIAL,1800,0.342638655444386,138.0,0.0,1605.0,55.038131764418786,1600.0,52.34045265921301,45.60350663214563,4.816287663650848,52.34045265921301,10.867385072165277,5.00912762490556,52.34045265921301,10.449015592849825,7.254885611737946,52.34045265921301,7.214511084024463,26.27453073039837,52.34045265921301,1.9920604176065309,6.28345875029007,8.698235089363191,28.400785330381506,67.91666666666667
slingoor,TOAD,1800,0.20096321065713502,1207.0,0.0,1743.0,71.63952665791382,1740.0,67.77679861097582,59.88528335567495,13.91288509607532,67.77679861097582,4.871512856100202,12.857594767157618,67.77679861097582,5.271343500737735,10.35609061182465,67.77679861097582,6.544631671490769,17.11641735432515,67.77679861097582,3.959753797067193,1.860096341350424,8.109766393525945,299.63341027460007,98.78333333333333
