dev,mark,column,hits_n,hits_med,hits_p25,hits_p75,miss_n,miss_med,miss_p25,miss_p75
slingoor,1m,dev_supply_share,13,0.541963340108031,0.342638655444386,0.667496111968053,12,0.38136515037288354,0.2423216323848755,0.43039873821940655
slingoor,1m,dev_first_buy_sol,13,30.618975229,17.025886551826193,49.384407328,12,17.9769999205,14.697076792441381,22.007636749873846
slingoor,1m,dev_same_slot_buyers,13,5.0,2.0,8.0,12,3.0,0.0,4.75
slingoor,1m,dev_fee_first_tx,13,78520.0,27041.0,110882.0,12,35000.0,23150.75,46916.75
slingoor,1m,dev_fee_med_60s,13,65720.0,20395.0,112553.0,12,35000.0,13814.0,130571.75
slingoor,1m,dev_fee_lamports_med,13,87149.0,20395.0,157056.5,12,17784.75,6370.75,101347.25
slingoor,1m,dev_sold_share_60s,13,0.0,0.0,0.0,12,1.0,0.0,1.0
slingoor,1m,sol_in_1m,13,385.134999076,279.2998042896707,680.0863805,12,179.9303714372997,116.35288733975,242.219278931939
slingoor,1m,sol_out_1m,13,269.524369937,177.721978533,462.30956558599996,12,134.54232326914232,107.86344360924998,184.1574900900943
slingoor,1m,net_sol_1m,13,94.97223887900003,65.867663679,115.61062913899997,12,28.016080884500028,11.337468961750012,48.98184261325526
slingoor,1m,n_buys_1m,13,514.0,300.0,663.0,12,157.0,131.5,292.5
slingoor,1m,n_wallets_1m,13,374.0,242.0,460.0,12,125.5,105.5,235.0
slingoor,1m,member_buy_sol_1m,13,0.0,0.0,0.0,12,0.0,0.0,0.0
slingoor,1m,outside_buy_sol_1m,13,354.516023847,249.72620642699997,617.089736893,12,160.7570003628838,99.52468460825,228.66078311211484
slingoor,1m,top10_share_1m,13,0.779109037617189,0.5383150806938649,0.8328642326779709,12,0.7030258057732565,0.6482038415842447,0.8283523732007863
slingoor,1m,n_net_long_1m,13,257.0,147.0,298.0,12,55.5,28.75,113.25
slingoor,1m,mult_30s,13,8.437352122247413,4.816287663650848,13.91288509607532,12,2.099656198912162,1.1095895419371424,3.384415034650425
slingoor,1m,mult_60s,13,12.857594767157618,3.6960318130185765,15.573713743896654,12,1.6493884953006686,1.0771168351799092,3.4907580057018746
slingoor,1m,dev_sold_by_60s (share true),13,0.15384615384615385,,,12,0.5833333333333334,,
slingoor,1m,member_buy_by_1m (share true),13,0.15384615384615385,,,12,0.08333333333333333,,
slingoor,5m,dev_sold_share_120s,13,0.0,0.0,0.0,12,1.0,0.0,1.0
slingoor,5m,dev_sold_share_300s,13,0.0,0.0,0.0,12,1.0,0.98660043850112,1.0
slingoor,5m,sol_in_5m,13,659.46847123,591.017369366,1593.6336157140001,12,216.05902715749738,123.44158719050003,324.0538684762237
slingoor,5m,sol_out_5m,13,571.8271452639999,498.863743712,1517.6017011490003,12,181.31201855678214,120.25918056100001,292.21820416446417
slingoor,5m,net_sol_5m,13,119.28997207799989,87.64132596600007,151.78808778199982,12,20.749647658499995,5.019777954750015,50.11038000532287
slingoor,5m,n_buys_5m,13,1083.0,1006.0,1790.0,12,245.5,167.0,457.0
slingoor,5m,n_wallets_5m,13,659.0,569.0,1074.0,12,165.0,123.0,341.75
slingoor,5m,member_buy_sol_5m,13,0.992570579,0.0,2.9703557280000004,12,0.0,0.0,0.0
slingoor,5m,member_buyers_5m,13,1.0,0.0,2.0,12,0.0,0.0,0.0
slingoor,5m,outside_buy_sol_5m,13,652.553199705,560.398394137,1559.5524280270001,12,196.3941997875815,110.74934406150001,303.09143985402574
slingoor,5m,top10_share_5m,13,0.774419099873261,0.43021079560791453,0.7983938407382715,12,0.8560092009033136,0.6789215744826462,0.999743553486391
slingoor,5m,n_net_long_5m,13,356.0,246.0,439.0,12,40.5,12.75,85.5
slingoor,5m,mult_120s,13,17.671307354093766,5.042727691137204,20.629567356300875,12,1.638783848626967,0.8796123745552324,3.6269731649536334
slingoor,5m,mult_300s,13,20.073747527919554,11.618226059133008,31.07136465517381,12,1.4658139455052377,0.7774371418514991,2.4579679207127905
slingoor,5m,dev_sold_by_120s (share true),13,0.15384615384615385,,,12,0.5833333333333334,,
slingoor,5m,dev_sold_by_300s (share true),13,0.15384615384615385,,,12,0.8333333333333334,,
slingoor,5m,member_buy_by_5m (share true),13,0.5384615384615384,,,12,0.08333333333333333,,
retardmode,1m,dev_supply_share,4,0.417792641530329,0.2957039265802553,0.5054497983920238,15,0.096583719241621,0.034408670448192,0.19851947665491498
retardmode,1m,dev_first_buy_sol,4,19.6209947525,12.005301881999998,30.23585612774344,15,2.9691874540000005,0.9953703764999999,9.717129709871323
retardmode,1m,dev_same_slot_buyers,4,0.5,0.0,1.25,15,2.0,0.5,3.0
retardmode,1m,dev_fee_first_tx,4,20500.0,10750.0,32500.0,15,11000.0,10000.0,30000.0
retardmode,1m,dev_fee_med_60s,4,20500.0,10750.0,32500.0,15,11000.0,7000.0,35000.0
retardmode,1m,dev_fee_lamports_med,4,20500.0,10750.0,32500.0,15,9079.0,7000.0,125000.0
retardmode,1m,dev_sold_share_60s,4,0.0,0.0,0.0,15,0.49999999999999484,0.0,0.8292663239188188
retardmode,1m,sol_in_1m,4,36.05673233337272,15.823101540499998,57.63299418005908,15,46.35215296297196,13.2450954255,65.571892889
retardmode,1m,sol_out_1m,4,1.6612883515,1.1467632855000003,6.848420154749999,15,11.348625777154503,8.640067429999998,50.674263984999996
retardmode,1m,net_sol_1m,4,30.726085558999998,14.227948507749998,47.563605349686355,15,8.626133492000008,2.956030335999999,24.066828264500003
retardmode,1m,n_buys_1m,4,19.0,7.75,39.25,15,61.0,20.0,94.5
retardmode,1m,n_wallets_1m,4,17.5,5.5,38.25,15,41.0,19.5,74.0
