dev,group,metric,n,median,p25,p75,min,max,note
0xkgc,all,dev_supply_share,47,0.034271956398007994,0.034271956398007994,0.066012229410647,0.034194029850745995,0.113675096836372,
0xkgc,all,dev_first_buy_sol,47,0.991515998,0.991515998,1.980528808,0.9891912800000001,5.5945671265404275,
0xkgc,all,dev_same_slot_buyers,47,2.0,1.0,3.5,0.0,13.0,
0xkgc,all,dev_fee_lamports_med,47,452500.0,398353.25,505000.0,3370.0,1000000.0,
0xkgc,all,dev_fee_first_tx,47,505000.0,35000.0,505000.0,5000.0,605000.0,
0xkgc,all,dev_first_sell_s,25,738.0,387.0,818.0,36.0,1611.0,
0xkgc,all,dev_sold_share_30m,46,0.15022831036605577,0.0,1.0,0.0,1.0,
0xkgc,all,dev_sell_sol_30m,46,0.8965530085,0.0,1.31174123,0.0,6.215133423,
0xkgc,all,dev_sold_share_60s,47,0.0,0.0,0.0,0.0,1.0,
0xkgc,all,dev_sold_share_300s,47,0.0,0.0,0.0,0.0,1.0,
0xkgc,all,grad_s,47,1765.0,1536.0,1794.0,125.0,1800.0,
0xkgc,all,peak10_mult,47,3.289263927269056,2.437285783466148,7.06642168671015,1.1451027366711495,16.955558122120532,
0xkgc,all,peak10_ts_s,47,620.0,435.0,955.0,0.0,1780.0,
0xkgc,all,sol_in_1m,47,17.170719325999997,10.148242403000001,24.552902254296736,4.730949655491055,95.610620323,
0xkgc,all,sol_in_5m,47,27.21291371,15.7956726795,63.74539989400001,4.730949655491055,187.05789324021066,
0xkgc,all,n_wallets_1m,47,40.0,25.5,58.5,2.0,198.0,
0xkgc,all,n_wallets_5m,47,57.0,48.0,149.0,7.0,517.0,
0xkgc,all,n_launches,47,,,,,,measurable launches (with trades)
0xkgc,all,n_dev_sold_in_window,25,,,,,,launches with a dev sell in the window
0xkgc,all,n_dev_sold_by_60s,1,,,,,,
0xkgc,all,n_dev_sold_by_300s,4,,,,,,
0xkgc,all,n_non_sol_quote,11,,,,,,launches quoted in a token other than SOL
0xkgc,all,n_graduated_in_window,47,,,,,,curve completed inside the 30-min window
0xkgc,all,n_graduated_by_60s,0,,,,,,
0xkgc,all,n_dev_buy_in_create_slot,47,,,,,,dev_first_buy_s == 0
0xkgc,all,launchpad:Pump.fun,40,,,,,,dev_tokens.launchpad_platform
0xkgc,all,launchpad:stonkfun,7,,,,,,dev_tokens.launchpad_platform
0xkgc,hits,dev_supply_share,7,0.066401601740007,0.0503367790690075,0.0807827181781925,0.034271956398007994,0.113675096836372,
0xkgc,hits,dev_first_buy_sol,7,1.980528808,1.486022403,2.885953927919317,0.991363637,4.368711724858733,
0xkgc,hits,dev_same_slot_buyers,7,2.0,0.5,2.0,0.0,5.0,
0xkgc,hits,dev_fee_lamports_med,7,400000.0,27714.5,452500.0,11000.0,505000.0,
0xkgc,hits,dev_fee_first_tx,7,505000.0,35000.0,505000.0,11000.0,505000.0,
0xkgc,hits,dev_first_sell_s,4,673.0,503.0,900.0,428.0,1146.0,
0xkgc,hits,dev_sold_share_30m,6,0.07229042811791658,0.0,0.1530520374311671,0.0,0.7187499999999952,
0xkgc,hits,dev_sell_sol_30m,6,1.7305435905,0.0,3.7229928405000003,0.0,6.215133423,
0xkgc,hits,dev_sold_share_60s,7,0.0,0.0,0.0,0.0,0.0,
0xkgc,hits,dev_sold_share_300s,7,0.0,0.0,0.0,0.0,0.0,
0xkgc,hits,grad_s,7,1798.0,1430.0,1799.0,845.0,1800.0,
0xkgc,hits,peak10_mult,7,9.939940823579649,5.871295828997197,13.466886487108496,3.0314674789172886,16.955558122120532,
0xkgc,hits,peak10_ts_s,7,950.0,780.0,1205.0,390.0,1780.0,
0xkgc,hits,sol_in_1m,7,22.09736371253417,19.6482344563847,24.552902254296736,13.71289143,43.75412362000001,
0xkgc,hits,sol_in_5m,7,58.961061887672486,35.926461291931574,86.77865922487774,19.224024917999998,178.256140491,
0xkgc,hits,n_wallets_1m,7,38.0,35.5,51.5,26.0,63.0,
0xkgc,hits,n_wallets_5m,7,101.0,67.5,173.5,50.0,517.0,
0xkgc,hits,n_launches,7,,,,,,measurable launches (with trades)
0xkgc,hits,n_dev_sold_in_window,4,,,,,,launches with a dev sell in the window
0xkgc,hits,n_dev_sold_by_60s,0,,,,,,
0xkgc,hits,n_dev_sold_by_300s,0,,,,,,
0xkgc,hits,n_non_sol_quote,3,,,,,,launches quoted in a token other than SOL
0xkgc,hits,n_graduated_in_window,7,,,,,,curve completed inside the 30-min window
0xkgc,hits,n_graduated_by_60s,0,,,,,,
0xkgc,hits,n_dev_buy_in_create_slot,7,,,,,,dev_first_buy_s == 0
0xkgc,hits,launchpad:Pump.fun,5,,,,,,dev_tokens.launchpad_platform
0xkgc,hits,launchpad:stonkfun,2,,,,,,dev_tokens.launchpad_platform
0xkgc,misses,dev_supply_share,40,0.034271956398007994,0.034271956398007994,0.0572316958087405,0.034194029850745995,0.096583719241621,
0xkgc,misses,dev_first_buy_sol,40,0.991515998,0.991515998,1.8227179202500001,0.9891912800000001,5.5945671265404275,
0xkgc,misses,dev_same_slot_buyers,40,2.0,1.0,4.0,0.0,13.0,
0xkgc,misses,dev_fee_lamports_med,40,452500.0,400000.0,505000.0,3370.0,1000000.0,
0xkgc,misses,dev_fee_first_tx,40,505000.0,180479.0,505000.0,5000.0,605000.0,
0xkgc,misses,dev_first_sell_s,21,738.0,343.0,802.0,36.0,1611.0,
0xkgc,misses,dev_sold_share_30m,40,0.23004187208367194,0.0,1.0,0.0,1.0,
0xkgc,misses,dev_sell_sol_30m,40,0.8965530085,0.0,1.2415247225,0.0,3.913328742,
0xkgc,misses,dev_sold_share_60s,40,0.0,0.0,0.0,0.0,1.0,
0xkgc,misses,dev_sold_share_300s,40,0.0,0.0,0.0,0.0,1.0,
