dev,group,metric,n,median,p25,p75,min,max,note
0xkgc,misses,grad_s,40,1762.0,1541.0,1792.25,125.0,1800.0,
0xkgc,misses,peak10_mult,40,3.159767140143873,2.2834956210066286,6.38737729831338,1.1451027366711495,15.10255258844559,
0xkgc,misses,peak10_ts_s,40,550.0,397.5,907.5,0.0,1710.0,
0xkgc,misses,sol_in_1m,40,15.470644399231116,9.56077500825,25.466167554789802,4.730949655491055,95.610620323,
0xkgc,misses,sol_in_5m,40,24.472380903050748,14.11721986525,57.465396154000004,4.730949655491055,187.05789324021066,
0xkgc,misses,n_wallets_1m,40,40.0,23.0,60.0,2.0,198.0,
0xkgc,misses,n_wallets_5m,40,56.0,44.75,146.5,7.0,416.0,
0xkgc,misses,n_launches,40,,,,,,measurable launches (with trades)
0xkgc,misses,n_dev_sold_in_window,21,,,,,,launches with a dev sell in the window
0xkgc,misses,n_dev_sold_by_60s,1,,,,,,
0xkgc,misses,n_dev_sold_by_300s,4,,,,,,
0xkgc,misses,n_non_sol_quote,8,,,,,,launches quoted in a token other than SOL
0xkgc,misses,n_graduated_in_window,40,,,,,,curve completed inside the 30-min window
0xkgc,misses,n_graduated_by_60s,0,,,,,,
0xkgc,misses,n_dev_buy_in_create_slot,40,,,,,,dev_first_buy_s == 0
0xkgc,misses,launchpad:Pump.fun,35,,,,,,dev_tokens.launchpad_platform
0xkgc,misses,launchpad:stonkfun,5,,,,,,dev_tokens.launchpad_platform
0xkgc,all,launch_hour_utc:00,1,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:01,1,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:02,2,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:03,2,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:04,2,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:05,3,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:06,3,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:07,1,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:08,1,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:10,1,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:11,2,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:12,1,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:13,1,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:14,4,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:15,2,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:16,3,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:17,4,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:18,1,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:19,4,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:20,4,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,all,launch_hour_utc:21,4,,,,,,launches created in this UTC hour (all rows of the launch list)
0xkgc,hits,launch_hour_utc:01,1,,,,,,
0xkgc,hits,launch_hour_utc:02,1,,,,,,
0xkgc,hits,launch_hour_utc:05,1,,,,,,
0xkgc,hits,launch_hour_utc:11,1,,,,,,
0xkgc,hits,launch_hour_utc:17,1,,,,,,
0xkgc,hits,launch_hour_utc:19,2,,,,,,
0xkgc,all,launch_weekday:Fri,2,,,,,,
0xkgc,all,launch_weekday:Mon,4,,,,,,
0xkgc,all,launch_weekday:Sat,6,,,,,,
0xkgc,all,launch_weekday:Sun,2,,,,,,
0xkgc,all,launch_weekday:Thu,15,,,,,,
0xkgc,all,launch_weekday:Tue,1,,,,,,
0xkgc,all,launch_weekday:Wed,17,,,,,,
0xkgc,all,gap_between_launches_h,46,2.6466666666666665,1.1339583333333332,7.194513888888888,0.3947222222222222,48.5825,hours between consecutive launches
0xkgc,all,n_gaps_lt_1h,10,,,,,,launch followed by another within 1 h
0xkgc,all,n_gaps_lt_24h,44,,,,,,
0xkgc,all,span_days,47,12.476597222222223,,,,,median = days from first to last launch
0xkgc,all,hour_utc,47,14.0,6.0,18.5,0.0,21.0,distribution of the UTC hour of creation
0xkgc,all,book_bundler_rate,47,0.0,0.0,0.0,0.0,0.2027,dev_tokens.bundler_rate
gampsito,all,dev_supply_share,16,0.16432523400382998,0.15166077733404498,0.176989690673615,0.08641313125668301,0.20096321065713502,
gampsito,all,dev_first_buy_sol,16,5.433953138,4.940213444,5.927867765,3.744006310239238,6.915522086,
gampsito,all,dev_same_slot_buyers,16,6.5,4.75,8.25,2.0,18.0,
gampsito,all,dev_fee_lamports_med,16,63718.25,50663.0,95968.75,14925.0,1000000.0,
gampsito,all,dev_fee_first_tx,16,5000.0,5000.0,5000.0,5000.0,5000.0,
gampsito,all,dev_first_sell_s,16,2.0,1.0,4.0,1.0,5.0,
gampsito,all,dev_sold_share_30m,15,1.0,0.9999999999999998,1.0,0.9719759438573625,1.0,
gampsito,all,dev_sell_sol_30m,15,9.202852113,7.358395668,13.8734614915,4.790601358283463,14.754983693,
gampsito,all,dev_sold_share_60s,16,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,
gampsito,all,dev_sold_share_300s,16,1.0,0.9999999999999998,1.0,0.9990752397198458,1.0,
gampsito,all,grad_s,16,790.0,545.25,1655.5,148.0,1800.0,
gampsito,all,peak10_mult,16,1.94882562286127,1.3802229797015768,6.370179969263119,1.192324194358626,27.529539433258357,
gampsito,all,peak10_ts_s,16,10.0,0.0,512.5,0.0,1710.0,
gampsito,all,sol_in_1m,16,100.99852928050001,36.51109011074999,120.01016940050002,17.729150694,173.61336025699998,
gampsito,all,sol_in_5m,16,113.83833100000001,36.51109011074999,197.27143132775,17.729150694,332.717664483,
gampsito,all,n_wallets_1m,16,142.5,51.0,177.0,25.0,291.0,
gampsito,all,n_wallets_5m,16,173.5,51.0,272.5,25.0,479.0,
gampsito,all,n_launches,16,,,,,,measurable launches (with trades)
gampsito,all,n_dev_sold_in_window,16,,,,,,launches with a dev sell in the window
gampsito,all,n_dev_sold_by_60s,16,,,,,,
gampsito,all,n_dev_sold_by_300s,16,,,,,,
gampsito,all,n_non_sol_quote,1,,,,,,launches quoted in a token other than SOL
gampsito,all,n_graduated_in_window,16,,,,,,curve completed inside the 30-min window
gampsito,all,n_graduated_by_60s,0,,,,,,
gampsito,all,n_dev_buy_in_create_slot,16,,,,,,dev_first_buy_s == 0
gampsito,all,launchpad:Pump.fun,16,,,,,,dev_tokens.launchpad_platform
gampsito,hits,dev_supply_share,6,0.15166077733404498,0.15166077733404498,0.1706574623387225,0.124858181763706,0.20096321065713502,
gampsito,hits,dev_first_buy_sol,6,4.940213444,4.940213444,5.68095418475,3.952559123,6.915522086,
gampsito,hits,dev_same_slot_buyers,6,7.0,6.25,7.75,6.0,9.0,
gampsito,hits,dev_fee_lamports_med,6,90480.5,59671.5,774775.0,51429.0,1000000.0,
gampsito,hits,dev_fee_first_tx,6,5000.0,5000.0,5000.0,5000.0,5000.0,
gampsito,hits,dev_first_sell_s,6,3.0,1.25,4.0,1.0,5.0,
gampsito,hits,dev_sold_share_30m,5,1.0,0.9891121982234108,1.0,0.9719759438573625,1.0,
gampsito,hits,dev_sell_sol_30m,5,10.836121336,9.202852113,14.581704038999998,5.862773077,14.754983693,
gampsito,hits,dev_sold_share_60s,6,1.0,1.0,1.0,1.0,1.0,
gampsito,hits,dev_sold_share_300s,6,1.0,1.0,1.0,1.0,1.0,
gampsito,hits,grad_s,6,711.5,604.25,1550.75,225.0,1798.0,
gampsito,hits,peak10_mult,6,5.494650296944098,2.0167710773230287,16.118280523975976,1.192324194358626,27.529539433258357,
gampsito,hits,peak10_ts_s,6,415.0,97.5,912.5,0.0,1710.0,
gampsito,hits,sol_in_1m,6,109.50988504899999,49.634531248,122.487271693,17.729150694,142.562155342,
gampsito,hits,sol_in_5m,6,181.607410723,68.789982098,224.23549627124999,17.729150694,332.717664483,
gampsito,hits,n_wallets_1m,6,154.0,57.0,170.75,25.0,180.0,
gampsito,hits,n_wallets_5m,6,240.0,75.75,313.5,25.0,424.0,
gampsito,hits,n_launches,6,,,,,,measurable launches (with trades)
gampsito,hits,n_dev_sold_in_window,6,,,,,,launches with a dev sell in the window
gampsito,hits,n_dev_sold_by_60s,6,,,,,,
gampsito,hits,n_dev_sold_by_300s,6,,,,,,
gampsito,hits,n_non_sol_quote,0,,,,,,launches quoted in a token other than SOL
gampsito,hits,n_graduated_in_window,6,,,,,,curve completed inside the 30-min window
gampsito,hits,n_graduated_by_60s,0,,,,,,
gampsito,hits,n_dev_buy_in_create_slot,6,,,,,,dev_first_buy_s == 0
gampsito,hits,launchpad:Pump.fun,6,,,,,,dev_tokens.launchpad_platform
gampsito,misses,dev_supply_share,10,0.176989690673615,0.15166077733404498,0.176989690673615,0.08641313125668301,0.20096321065713502,
gampsito,misses,dev_first_buy_sol,10,5.9277802985,4.940213444,5.927867765,3.744006310239238,6.915522086,
gampsito,misses,dev_same_slot_buyers,10,5.5,3.25,11.0,2.0,18.0,
gampsito,misses,dev_fee_lamports_med,10,55087.25,47147.75,69049.75,14925.0,115630.0,
gampsito,misses,dev_fee_first_tx,10,5000.0,5000.0,5000.0,5000.0,5000.0,
gampsito,misses,dev_first_sell_s,10,2.0,1.0,3.75,1.0,5.0,
gampsito,misses,dev_sold_share_30m,10,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999998,1.0,
gampsito,misses,dev_sell_sol_30m,10,8.1780721845,7.3479314774999995,13.081518528500002,4.790601358283463,14.431274995999999,
gampsito,misses,dev_sold_share_60s,10,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999998,1.0,
gampsito,misses,dev_sold_share_300s,10,0.9999999999999999,0.9999999999999998,1.0,0.9990752397198458,1.0,
gampsito,misses,grad_s,10,900.0,451.5,1498.75,148.0,1800.0,
gampsito,misses,peak10_mult,10,1.6872977597489718,1.4001237141052156,2.37416809788035,1.3024394538902035,7.699730260821586,
gampsito,misses,peak10_ts_s,10,5.0,0.0,130.0,0.0,850.0,
gampsito,misses,sol_in_1m,10,70.44848122,37.93119292625,114.89763581100001,32.060455297,173.61336025699998,
gampsito,misses,sol_in_5m,10,75.7298417395,37.958081814749995,124.86001402625,32.060455297,259.05208674057354,
gampsito,misses,n_wallets_1m,10,109.5,58.25,172.5,40.0,291.0,
gampsito,misses,n_wallets_5m,10,121.5,58.75,209.0,40.0,479.0,
gampsito,misses,n_launches,10,,,,,,measurable launches (with trades)
gampsito,misses,n_dev_sold_in_window,10,,,,,,launches with a dev sell in the window
gampsito,misses,n_dev_sold_by_60s,10,,,,,,
gampsito,misses,n_dev_sold_by_300s,10,,,,,,
gampsito,misses,n_non_sol_quote,1,,,,,,launches quoted in a token other than SOL
gampsito,misses,n_graduated_in_window,10,,,,,,curve completed inside the 30-min window
gampsito,misses,n_graduated_by_60s,0,,,,,,
gampsito,misses,n_dev_buy_in_create_slot,10,,,,,,dev_first_buy_s == 0
gampsito,misses,launchpad:Pump.fun,10,,,,,,dev_tokens.launchpad_platform
gampsito,all,launch_hour_utc:08,3,,,,,,launches created in this UTC hour (all rows of the launch list)
gampsito,all,launch_hour_utc:10,2,,,,,,launches created in this UTC hour (all rows of the launch list)
gampsito,all,launch_hour_utc:11,2,,,,,,launches created in this UTC hour (all rows of the launch list)
gampsito,all,launch_hour_utc:13,1,,,,,,launches created in this UTC hour (all rows of the launch list)
gampsito,all,launch_hour_utc:15,2,,,,,,launches created in this UTC hour (all rows of the launch list)
gampsito,all,launch_hour_utc:19,2,,,,,,launches created in this UTC hour (all rows of the launch list)
gampsito,all,launch_hour_utc:20,3,,,,,,launches created in this UTC hour (all rows of the launch list)
gampsito,all,launch_hour_utc:23,1,,,,,,launches created in this UTC hour (all rows of the launch list)
gampsito,hits,launch_hour_utc:08,1,,,,,,
gampsito,hits,launch_hour_utc:10,1,,,,,,
gampsito,hits,launch_hour_utc:11,1,,,,,,
gampsito,hits,launch_hour_utc:19,2,,,,,,
gampsito,hits,launch_hour_utc:20,1,,,,,,
gampsito,all,launch_weekday:Sat,1,,,,,,
gampsito,all,launch_weekday:Sun,1,,,,,,
gampsito,all,launch_weekday:Thu,9,,,,,,
gampsito,all,launch_weekday:Tue,2,,,,,,
gampsito,all,launch_weekday:Wed,3,,,,,,
gampsito,all,gap_between_launches_h,15,11.780833333333334,3.081111111111111,105.61277777777778,0.04027777777777778,609.9152777777778,hours between consecutive launches
gampsito,all,n_gaps_lt_1h,3,,,,,,launch followed by another within 1 h
gampsito,all,n_gaps_lt_24h,9,,,,,,
gampsito,all,span_days,16,49.35528935185185,,,,,median = days from first to last launch
gampsito,all,hour_utc,16,14.0,10.0,19.25,8.0,23.0,distribution of the UTC hour of creation
gampsito,all,book_bundler_rate,16,0.0,0.0,0.00025,0.0,0.0175,dev_tokens.bundler_rate
hashbergers,all,dev_supply_share,12,0.034199203154141,0.034199203154141,0.040656395358431255,0.000706037126454,0.500408865023513,
hashbergers,all,dev_first_buy_sol,12,0.9891228799999999,0.9891228799999999,1.186653744,0.021694925,26.21981628,
hashbergers,all,dev_same_slot_buyers,12,1.0,0.0,3.0,0.0,11.0,
hashbergers,all,dev_fee_lamports_med,12,193981.25,71887.75,209324.25,34398.0,434464.0,
hashbergers,all,dev_fee_first_tx,12,200596.0,110025.5,388804.75,5000.0,744577.0,
hashbergers,all,dev_first_sell_s,10,10.0,9.0,12.75,8.0,24.0,
hashbergers,all,dev_sold_share_30m,12,1.0,1.0,1.0,0.0,1.0,
hashbergers,all,dev_sell_sol_30m,12,1.0973925135,0.779521273,1.4528871129999998,0.0,10.864197528,
hashbergers,all,dev_sold_share_60s,12,1.0,0.8876804406253936,1.0,0.0,1.0,
hashbergers,all,dev_sold_share_300s,12,1.0,0.8876804406253936,1.0,0.0,1.0,
hashbergers,all,grad_s,12,712.5,528.0,826.0,234.0,1757.0,
hashbergers,all,peak10_mult,12,1.2822114719968285,1.030565320526202,2.821355025198846,1.0,54.72296099835913,
hashbergers,all,peak10_ts_s,12,40.0,0.0,305.0,0.0,1770.0,
hashbergers,all,sol_in_1m,12,6.477111636,3.6778356197500006,13.93075169275,1.9551792129999996,220.80158181,
hashbergers,all,sol_in_5m,12,11.2508926565,5.230948654,25.04648325625,1.9551792129999996,593.749687987,
hashbergers,all,n_wallets_1m,12,10.0,4.75,31.75,3.0,133.0,
hashbergers,all,n_wallets_5m,12,26.5,4.75,58.0,3.0,503.0,
hashbergers,all,n_launches,12,,,,,,measurable launches (with trades)
hashbergers,all,n_dev_sold_in_window,10,,,,,,launches with a dev sell in the window
hashbergers,all,n_dev_sold_by_60s,10,,,,,,
hashbergers,all,n_dev_sold_by_300s,10,,,,,,
hashbergers,all,n_non_sol_quote,0,,,,,,launches quoted in a token other than SOL
hashbergers,all,n_graduated_in_window,12,,,,,,curve completed inside the 30-min window
hashbergers,all,n_graduated_by_60s,0,,,,,,
hashbergers,all,n_dev_buy_in_create_slot,12,,,,,,dev_first_buy_s == 0
hashbergers,all,launchpad:Pump.fun,12,,,,,,dev_tokens.launchpad_platform
hashbergers,hits,dev_supply_share,2,0.2505574510749835,0.12563174410071876,0.37548315804924826,0.000706037126454,0.500408865023513,
hashbergers,hits,dev_first_buy_sol,2,13.1207556025,6.571225263750001,19.67028594125,0.021694925,26.21981628,
hashbergers,hits,dev_same_slot_buyers,2,5.5,2.75,8.25,0.0,11.0,
hashbergers,hits,dev_fee_lamports_med,2,313194.0,252559.0,373829.0,191924.0,434464.0,
hashbergers,hits,dev_fee_first_tx,2,98462.0,51731.0,145193.0,5000.0,191924.0,
hashbergers,hits,dev_first_sell_s,0,,,,,,
hashbergers,hits,dev_sold_share_30m,2,0.0,0.0,0.0,0.0,0.0,
hashbergers,hits,dev_sell_sol_30m,2,0.0,0.0,0.0,0.0,0.0,
hashbergers,hits,dev_sold_share_60s,2,0.0,0.0,0.0,0.0,0.0,
hashbergers,hits,dev_sold_share_300s,2,0.0,0.0,0.0,0.0,0.0,
hashbergers,hits,grad_s,2,655.0,594.5,715.5,534.0,776.0,
hashbergers,hits,peak10_mult,2,38.399274673985815,30.237431511799166,46.56111783617247,22.07558834961251,54.72296099835913,
hashbergers,hits,peak10_ts_s,2,1335.0,1117.5,1552.5,900.0,1770.0,
hashbergers,hits,sol_in_1m,2,120.49641856999999,70.34383695,170.64900018999998,20.19125533,220.80158181,
hashbergers,hits,sol_in_5m,2,310.8062038225,169.33446174025002,452.27794590475,27.862719657999996,593.749687987,
hashbergers,hits,n_wallets_1m,2,94.0,74.5,113.5,55.0,133.0,
hashbergers,hits,n_wallets_5m,2,288.0,180.5,395.5,73.0,503.0,
hashbergers,hits,n_launches,2,,,,,,measurable launches (with trades)
hashbergers,hits,n_dev_sold_in_window,0,,,,,,launches with a dev sell in the window
hashbergers,hits,n_dev_sold_by_60s,0,,,,,,
hashbergers,hits,n_dev_sold_by_300s,0,,,,,,
hashbergers,hits,n_non_sol_quote,0,,,,,,launches quoted in a token other than SOL
hashbergers,hits,n_graduated_in_window,2,,,,,,curve completed inside the 30-min window
hashbergers,hits,n_graduated_by_60s,0,,,,,,
hashbergers,hits,n_dev_buy_in_create_slot,2,,,,,,dev_first_buy_s == 0
hashbergers,hits,launchpad:Pump.fun,2,,,,,,dev_tokens.launchpad_platform
hashbergers,misses,dev_supply_share,10,0.034199203154141,0.034199203154141,0.034199203154141,0.002818584737504,0.28526888213928997,
hashbergers,misses,dev_first_buy_sol,10,0.9891228799999999,0.9891228799999999,0.9891228799999999,0.080480904,10.865666089,
hashbergers,misses,dev_same_slot_buyers,10,1.0,0.0,2.5,0.0,3.0,
hashbergers,misses,dev_fee_lamports_med,10,146860.0,65663.25,205256.75,34398.0,372788.5,
hashbergers,misses,dev_fee_first_tx,10,293953.0,141917.25,396912.25,57840.0,744577.0,
hashbergers,misses,dev_first_sell_s,10,10.0,9.0,12.75,8.0,24.0,
hashbergers,misses,dev_sold_share_30m,10,1.0,1.0,1.0,1.0,1.0,
hashbergers,misses,dev_sell_sol_30m,10,1.177154406,1.0162428777499999,1.9530178249999999,0.081077695,10.864197528,
hashbergers,misses,dev_sold_share_60s,10,1.0,1.0,1.0,0.5507217625015746,1.0,
hashbergers,misses,dev_sold_share_300s,10,1.0,1.0,1.0,0.5507217625015746,1.0,
hashbergers,misses,grad_s,10,712.5,525.25,920.0,234.0,1757.0,
hashbergers,misses,peak10_mult,10,1.1385343057175714,1.0243993802846623,1.7375815744581478,1.0,5.682320446020461,
hashbergers,misses,peak10_ts_s,10,0.0,0.0,87.5,0.0,650.0,
hashbergers,misses,sol_in_1m,10,6.0526872,2.74065540325,7.0313186309999995,1.9551792129999996,31.928765278000004,
hashbergers,misses,sol_in_5m,10,10.198793894999998,3.258359748,15.923324220999998,1.9551792129999996,97.828585852,
hashbergers,misses,n_wallets_1m,10,7.5,4.25,13.75,3.0,52.0,
hashbergers,misses,n_wallets_5m,10,14.5,4.25,35.5,3.0,132.0,
hashbergers,misses,n_launches,10,,,,,,measurable launches (with trades)
hashbergers,misses,n_dev_sold_in_window,10,,,,,,launches with a dev sell in the window
hashbergers,misses,n_dev_sold_by_60s,10,,,,,,
hashbergers,misses,n_dev_sold_by_300s,10,,,,,,
hashbergers,misses,n_non_sol_quote,0,,,,,,launches quoted in a token other than SOL
hashbergers,misses,n_graduated_in_window,10,,,,,,curve completed inside the 30-min window
hashbergers,misses,n_graduated_by_60s,0,,,,,,
hashbergers,misses,n_dev_buy_in_create_slot,10,,,,,,dev_first_buy_s == 0
hashbergers,misses,launchpad:Pump.fun,10,,,,,,dev_tokens.launchpad_platform
hashbergers,all,launch_hour_utc:00,1,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,all,launch_hour_utc:01,1,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,all,launch_hour_utc:02,1,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,all,launch_hour_utc:03,1,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,all,launch_hour_utc:06,1,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,all,launch_hour_utc:09,1,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,all,launch_hour_utc:20,4,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,all,launch_hour_utc:22,1,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,all,launch_hour_utc:23,1,,,,,,launches created in this UTC hour (all rows of the launch list)
hashbergers,hits,launch_hour_utc:20,1,,,,,,
hashbergers,hits,launch_hour_utc:22,1,,,,,,
hashbergers,all,launch_weekday:Fri,3,,,,,,
hashbergers,all,launch_weekday:Mon,1,,,,,,
hashbergers,all,launch_weekday:Sat,1,,,,,,
hashbergers,all,launch_weekday:Sun,3,,,,,,
hashbergers,all,launch_weekday:Thu,2,,,,,,
hashbergers,all,launch_weekday:Tue,1,,,,,,
hashbergers,all,launch_weekday:Wed,1,,,,,,
hashbergers,all,gap_between_launches_h,11,46.346666666666664,20.913333333333334,428.05055555555555,0.15055555555555555,3251.400833333333,hours between consecutive launches
hashbergers,all,n_gaps_lt_1h,1,,,,,,launch followed by another within 1 h
hashbergers,all,n_gaps_lt_24h,4,,,,,,
hashbergers,all,span_days,12,214.9199189814815,,,,,median = days from first to last launch
hashbergers,all,hour_utc,12,14.5,2.75,20.0,0.0,23.0,distribution of the UTC hour of creation
hashbergers,all,book_bundler_rate,12,0.0,0.0,0.0161,0.0,0.5168,dev_tokens.bundler_rate
