mark,self_buy_floor,trail_pct,tp_mult,hard_stop_pct,time_stop_s,triggers,wins,pnl_usd,avg_usd,median_usd,worst_usd,hits_caught,hits_total,misses_entered,pnl_ex_best_usd
dev,0.2,0.3,0,0.4,900,9,4,305.32,33.92,-1.42,-52.18,3,24,6,-104.66
dev,0.2,0.3,0,0.4,1800,9,5,450.08,50.01,2.93,-52.18,3,24,6,-57.83
dev,0.2,0.3,0,0.5,900,9,4,305.32,33.92,-1.42,-52.18,3,24,6,-104.66
dev,0.2,0.3,0,0.5,1800,9,5,450.08,50.01,2.93,-52.18,3,24,6,-57.83
dev,0.2,0.3,3,0.4,900,9,4,76.48,8.5,-1.42,-52.18,3,24,6,-57.6
dev,0.2,0.3,3,0.4,1800,9,5,123.31,13.7,2.93,-52.18,3,24,6,-10.77
dev,0.2,0.3,3,0.5,900,9,4,76.48,8.5,-1.42,-52.18,3,24,6,-57.6
dev,0.2,0.3,3,0.5,1800,9,5,123.31,13.7,2.93,-52.18,3,24,6,-10.77
dev,0.2,0.3,5,0.4,900,9,4,231.63,25.74,-1.42,-52.18,3,24,6,-104.66
dev,0.2,0.3,5,0.4,1800,9,5,278.46,30.94,2.93,-52.18,3,24,6,-57.83
dev,0.2,0.3,5,0.5,900,9,4,231.63,25.74,-1.42,-52.18,3,24,6,-104.66
dev,0.2,0.3,5,0.5,1800,9,5,278.46,30.94,2.93,-52.18,3,24,6,-57.83
dev,0.2,0.4,0,0.4,900,9,4,287.26,31.92,-1.42,-52.18,3,24,6,-122.72
dev,0.2,0.4,0,0.4,1800,9,5,324.47,36.05,2.93,-52.18,3,24,6,-75.89
dev,0.2,0.4,0,0.5,900,9,4,287.26,31.92,-1.42,-52.18,3,24,6,-122.72
dev,0.2,0.4,0,0.5,1800,9,5,324.47,36.05,2.93,-52.18,3,24,6,-75.89
dev,0.2,0.4,3,0.4,900,9,4,76.48,8.5,-1.42,-52.18,3,24,6,-57.6
dev,0.2,0.4,3,0.4,1800,9,5,123.31,13.7,2.93,-52.18,3,24,6,-10.77
dev,0.2,0.4,3,0.5,900,9,4,76.48,8.5,-1.42,-52.18,3,24,6,-57.6
dev,0.2,0.4,3,0.5,1800,9,5,123.31,13.7,2.93,-52.18,3,24,6,-10.77
dev,0.2,0.4,5,0.4,900,9,4,213.57,23.73,-1.42,-52.18,3,24,6,-122.72
dev,0.2,0.4,5,0.4,1800,9,5,260.4,28.93,2.93,-52.18,3,24,6,-75.89
dev,0.2,0.4,5,0.5,900,9,4,213.57,23.73,-1.42,-52.18,3,24,6,-122.72
dev,0.2,0.4,5,0.5,1800,9,5,260.4,28.93,2.93,-52.18,3,24,6,-75.89
dev,0.2,0.5,0,0.4,900,9,4,280.27,31.14,-1.42,-52.18,3,24,6,-129.71
