dev,symbol,hit,self_buy,dev_sold_by_mark,triggered,reason,entry_s,exit_s,how,on_curve,gross_x,fee_in_pct,fee_out_pct,impact_in_pct,impact_out_pct,prio_in_sol,prio_out_sol,fixed_sol,net_sol,max_x_after,entry_mult_vs_dev
mitch,kai,False,0.1,0.0,False,no prior launches for baseline,,,,,,,,,,,,,,,
mitch,glown,False,0.44,0.0,False,no prior launches for baseline,,,,,,,,,,,,,,,
mitch,SOSA,False,,0.0,False,no prior launches for baseline,,,,,,,,,,,,,,,
mitch,BCC,False,,0.0,True,,110.0,110.0,end of data,False,1.0,1.25,1.25,0.11,0.11,0.01201,0.01201,0.02586,-0.0442,1.0,
mitch,mitch,True,,1.0,False,flow 55 < 1.5x baseline 56,,,,,,,,,,,,,,,
mitch,XXX,False,,0.0,False,flow 77 < 1.5x baseline 55,,,,,,,,,,,,,,,
mitch,HARD,False,0.73,0.0,False,flow 90 < 1.5x baseline 64,,,,,,,,,,,,,,,
mitch,fagua,False,,0.0,True,,130.0,130.0,end of data,False,1.0,1.25,1.25,0.12,0.12,0.01201,0.01201,0.02586,-0.0443,1.0,
mitch,RNT,False,0.55,0.0,False,flow 93 < 1.5x baseline 75,,,,,,,,,,,,,,,
mitch,JDS,False,,0.0,False,flow 74 < 1.5x baseline 77,,,,,,,,,,,,,,,
mitch,MITCH,True,0.79,0.0,False,no buys after the mark,,,,,,,,,,,,,,,
jester,DIRECTOR,True,0.03,1.0,False,no prior launches for baseline,,,,,,,,,,,,,,,
hashbergers,SCRAP,True,0.0,0.0,False,no prior launches for baseline,,,,,,,,,,,,,,,
hashbergers,RAPEHIM,False,0.0,1.0,False,no prior launches for baseline,,,,,,,,,,,,,,,
hashbergers,PVE,False,0.03,1.0,False,no prior launches for baseline,,,,,,,,,,,,,,,
hashbergers,PENGU,False,0.03,1.0,False,flow 7 < 1.5x baseline 6,,,,,,,,,,,,,,,
hashbergers,OBESE,False,0.06,1.0,True,,60.0,220.0,trailing stop,True,1.075,1.25,1.25,0.54,0.56,0.00023,0.0002,0.00228,0.0107,2.55,2.22
hashbergers,AMIGA,False,0.29,1.0,False,no buys after the mark,,,,,,,,,,,,,,,
hashbergers,OARFISH,False,0.03,1.0,False,flow 4 < 1.5x baseline 9,,,,,,,,,,,,,,,
