dev,symbol,coverage_s,dev_supply_share,member_first_buy_s,outside_first_buy_s,peak1_ts_s,peak1_mult,peak10_ts_s,peak10_mult,end_mult,mult_30s,max_after_30s,ahead_30s,mult_60s,max_after_60s,ahead_60s,mult_120s,max_after_120s,ahead_120s,mult_300s,max_after_300s,ahead_300s,kl_mult_5m,kl_mult_30m,kl_max_mult_100m,kl_min_to_max_100m
0xkgc,BIKESON,1800,0.113675096836372,972.0,0,,,390.0,3.5279454551960168,2.285008438229002,1.8251810003183284,3.5279454551960168,1.9329290928300866,1.7856336711316743,3.5279454551960168,1.975738647983785,1.7904893525764636,3.5279454551960168,1.9703805834530113,2.6617232709348975,3.5279454551960168,1.3254366048191288,1.46171235744207,1.5400318200156877,2.8336855584085745,6.15
0xkgc,biketyson,1800,0.034271956398007994,,0,724.0,10.170005425171395,720.0,9.939940823579649,3.338608202160009,1.3834422900059722,9.939940823579649,7.1849334774468545,1.4848941168301488,9.939940823579649,6.6940401412585295,1.6242447926208325,9.939940823579649,6.11973076271395,1.2619333424256167,9.939940823579649,7.876755839158396,1.322565234053492,2.0831927692318364,6.799914573599731,11.9
0xkgc,UNC,845,0.090621124422977,,0,,,840.0,13.360488838205848,13.360488838205848,1.6548950890300236,13.360488838205848,8.073314693342146,2.1729598571424398,13.360488838205848,6.14852078113197,2.0339638951296966,13.360488838205848,6.568695181953518,4.152708236522402,13.360488838205848,3.2172953352952884,1.6878612441659073,11.55472200109053,18.98891614909029,18.683333333333334
0xkgc,ZEC,1800,0.07094431193340801,,0,455.0,8.202182684425708,950.0,8.214646202798377,3.964970397048903,1.5392899229210675,8.214646202798377,5.336646515043555,1.6165557540149225,8.214646202798377,5.081573080542539,1.941744117244834,8.214646202798377,4.230550323208521,4.166468388988032,8.214646202798377,1.9716089109207384,2.4793247330163433,2.5395892891535063,40.20097859446301,51.85
0xkgc,thewok,1800,0.034271956398007994,,0,1008.0,3.6584037388444703,1170.0,3.0314674789172886,2.0422704191666505,1.2402766724555647,3.0314674789172886,2.4441864837427203,1.2391551307422395,3.0314674789172886,2.446398682222681,1.129735427051507,3.0314674789172886,2.683342848536764,1.3879482279696638,3.0314674789172886,2.184135847308814,1.2858167677316763,1.5884566420174262,4.074948478193181,57.78333333333333
0xkgc,Hunter,1800,0.066401601740007,79.0,1,1249.0,17.73377954148309,1240.0,16.955558122120532,11.409054908323037,2.2965463077192227,16.955558122120532,7.383068246927564,2.1461867294188086,16.955558122120532,7.900318220079634,2.8091040437840014,16.955558122120532,6.035930979359725,2.510574698483205,16.955558122120532,6.75365609808959,1.022973315334776,4.075903977823685,7.169251626044348,18.633333333333333
0xkgc,MelonMusk,1800,0.066401601740007,,0,1782.0,13.713801301167779,1780.0,13.573284136011146,13.162552001594493,2.023701142527018,13.573284136011146,6.707158409300513,1.7401929875694389,13.573284136011146,7.799872906607453,2.617311184484763,13.573284136011146,5.185964976756536,6.341300414160396,13.573284136011146,2.1404575165215984,4.227054077443045,6.647282082223835,11.742981013678646,37.5
gampsito,Dancedoge,1800,0.20096321065713502,,0,1.0,1.9144269088770547,0.0,1.3218737309614468,0.935674253969979,0.935674253969979,,,0.935674253969979,,,0.935674253969979,,,0.935674253969979,,,0.8319044755538884,0.8319044755538884,1.0,0.75
gampsito,ok,1800,0.15166077733404498,,0,2.0,1.4660842109889072,0.0,1.192324194358626,0.9387622581228551,0.9387622581228551,,,0.9387622581228551,,,0.9387622581228551,,,0.9387622581228551,,,0.9062007234043117,0.9046557217137082,1.0,0.3333333333333333
gampsito,petcat,1800,0.176989690673615,,0,391.0,4.12515476722836,390.0,4.101463116407775,1.1387503811939397,3.7439544009018952,4.101463116407775,1.0954896019619678,3.0484567119356663,4.101463116407775,1.3454227840432365,3.417736054544394,4.101463116407775,1.2000526228332533,2.979747440751923,4.101463116407775,1.376446560643003,1.2134923616828581,0.35749868827617165,1.6813162094682885,0.11666666666666667
gampsito,PP,1800,0.15166077733404498,,0,451.0,6.931190721982573,440.0,6.887837477480422,5.178881682465304,3.2366117921843016,6.887837477480422,2.1281012119256992,3.879679073425898,6.887837477480422,1.7753626903470163,5.390776017008667,6.887837477480422,1.2777079692697884,4.253906525730484,6.887837477480422,1.6191793204242158,1.4575537754272905,1.710739699540705,3.2526532720590122,75.46666666666667
gampsito,Biz,1070,0.124858181763706,402.0,0,1063.0,28.62014468756125,1070.0,27.529539433258357,27.529539433258357,2.3872320290905717,27.529539433258357,11.531991485446799,2.1201217305121123,27.529539433258357,12.98488621528757,2.6690621895393485,27.529539433258357,10.314311723852962,2.7763708980548394,27.529539433258357,9.91565624482878,2.0803381845811746,15.193056578661787,38.199528893109644,51.766666666666666
gampsito,Polycat,1800,0.15166077733404498,,0,1715.0,19.583605236901477,1710.0,19.19509487280783,16.03002095712752,3.7134333636195405,19.19509487280783,5.169096357258469,2.3283327336811257,19.19509487280783,8.244137358520971,4.626440273569441,19.19509487280783,4.148998741530974,8.027093277130428,19.19509487280783,2.3912883792562334,3.126989770889768,5.480497006358615,8.127977606372088,69.2
hashbergers,SCRAP,1800,0.000706037126454,,0,903.0,25.011832135014338,900.0,22.07558834961251,6.259649668455382,1.484654352116591,22.07558834961251,14.869177002809135,1.2990701948231909,22.07558834961251,16.99337606049617,1.5051987560344962,22.07558834961251,14.666228138383195,1.5051987560344962,22.07558834961251,14.666228138383195,,,,
hashbergers,PINU,1800,0.500408865023513,38.0,0,1781.0,55.555956097366476,1770.0,54.72296099835913,54.46673808217278,7.0621256975641264,54.72296099835913,7.748794533242903,12.961911298899825,54.72296099835913,4.221828072762994,14.564356958822394,54.72296099835913,3.757320776542116,37.14541214492619,54.72296099835913,1.473209148544443,,,,
